,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
10424,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,1994,9.0,Defunciones
10425,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,1995,6.0,Defunciones
10426,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,1996,8.0,Defunciones
10427,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,1997,0.0,Defunciones
10428,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,1998,2.0,Defunciones
10429,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,1999,10.0,Defunciones
10430,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2000,11.0,Defunciones
10431,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2001,3.0,Defunciones
10432,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2002,10.0,Defunciones
10433,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2003,6.0,Defunciones
10434,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2004,9.0,Defunciones
10435,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2005,6.0,Defunciones
10436,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2006,9.0,Defunciones
10437,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2007,1.0,Defunciones
10438,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2008,4.0,Defunciones
10439,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2009,6.0,Defunciones
10440,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2010,4.0,Defunciones
10441,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2011,9.0,Defunciones
10442,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2012,12.0,Defunciones
10443,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2013,2.0,Defunciones
10444,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2014,8.0,Defunciones
10445,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2015,14.0,Defunciones
10446,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2016,2.0,Defunciones
10447,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2017,5.0,Defunciones
10448,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2018,81.0,Defunciones
10449,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2019,5.0,Defunciones
10450,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2020,8.0,Defunciones
10451,11,Guanajuato,996,No especificado,1002000030,Defunciones generales,2021,4.0,Defunciones
10452,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,1994,7.0,Defunciones
10453,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,1995,3.0,Defunciones
10454,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,1996,5.0,Defunciones
10455,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,1997,0.0,Defunciones
10456,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,1998,1.0,Defunciones
10457,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,1999,8.0,Defunciones
10458,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2000,6.0,Defunciones
10459,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2001,1.0,Defunciones
10460,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2002,7.0,Defunciones
10461,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2003,3.0,Defunciones
10462,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2004,7.0,Defunciones
10463,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2005,3.0,Defunciones
10464,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2006,5.0,Defunciones
10465,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2007,1.0,Defunciones
10466,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2008,4.0,Defunciones
10467,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2009,5.0,Defunciones
10468,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2010,2.0,Defunciones
10469,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2011,7.0,Defunciones
10470,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2012,8.0,Defunciones
10471,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2013,1.0,Defunciones
10472,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2014,4.0,Defunciones
10473,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2015,9.0,Defunciones
10474,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2016,2.0,Defunciones
10475,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2017,1.0,Defunciones
10476,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2018,47.0,Defunciones
10477,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2019,1.0,Defunciones
10478,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2020,6.0,Defunciones
10479,11,Guanajuato,996,No especificado,1002000031,Defunciones generales hombres,2021,4.0,Defunciones
10480,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,1994,2.0,Defunciones
10481,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,1995,3.0,Defunciones
10482,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,1996,3.0,Defunciones
10483,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,1997,0.0,Defunciones
