,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,year,unidad_medida,valor
168,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,1994,Nacimientos,2471.0
169,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,1995,Nacimientos,2420.0
170,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,1996,Nacimientos,2390.0
171,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,1997,Nacimientos,2336.0
172,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,1998,Nacimientos,2405.0
173,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,1999,Nacimientos,2194.0
174,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2000,Nacimientos,2197.0
175,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2001,Nacimientos,2214.0
176,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2002,Nacimientos,2050.0
177,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2003,Nacimientos,2147.0
178,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2004,Nacimientos,2150.0
179,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2005,Nacimientos,1672.0
180,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2006,Nacimientos,1299.0
181,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2007,Nacimientos,1436.0
182,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2008,Nacimientos,1430.0
183,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2009,Nacimientos,2010.0
184,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2010,Nacimientos,2013.0
185,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2011,Nacimientos,1991.0
186,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2012,Nacimientos,1992.0
187,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2013,Nacimientos,1695.0
188,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2014,Nacimientos,1573.0
189,11,Guanajuato,1,Abasolo,1002000026,Nacimientos,2015,Nacimientos,1405.0
